method,silhouette,nmi,ari,purity
VAE/CVAE latents + KMeans,0.13216707110404968,0.1284525120256666,0.0931242363169984,0.3674307218611016
Direct spectral (MFCC stats) + KMeans,0.17884561419487,0.09912861685149181,0.06257798482299941,0.3260348956551488
PCA(32) + KMeans (audio),0.18292880058288574,0.09889599104224178,0.0631292282254992,0.32637700992131374
Autoencoder(z=16) + KMeans (fused),0.18906112015247345,0.09750724371396123,0.059446349525249194,0.31953472459801574
